# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UniRef50_B7GRN1: Probable endonuclease 4|unclassified	248.2210727246
UniRef50_UPI00047B0E80: AraC family transcriptional regulator	247.9726629960
UniRef50_UPI00047B0E80: AraC family transcriptional regulator|unclassified	247.9726629960
UniRef50_UPI00046D65C0: hypothetical protein	247.2643760359
UniRef50_UPI00046D65C0: hypothetical protein|unclassified	247.2643760359
UniRef50_Q9Z7H3: Probable endonuclease 4	246.2409282721
UniRef50_Q9Z7H3: Probable endonuclease 4|unclassified	246.2409282721
UniRef50_Q836W6: Exodeoxyribonuclease 7 large subunit	245.8471299972
UniRef50_Q836W6: Exodeoxyribonuclease 7 large subunit|unclassified	245.8471299972
UniRef50_UPI0003B768A4: recombinase	245.7986568642
UniRef50_UPI0003B768A4: recombinase|unclassified	245.7986568642
UniRef50_Q5F8V5: Exodeoxyribonuclease 7 large subunit	243.4408919162
UniRef50_Q5F8V5: Exodeoxyribonuclease 7 large subunit|unclassified	243.4408919162
UniRef50_UPI00037C8437: hypothetical protein	242.5631089753
UniRef50_UPI00037C8437: hypothetical protein|unclassified	242.5631089753
UniRef50_I3UDG1: Nuclease SbcCD subunit D	241.7110325253
UniRef50_I3UDG1: Nuclease SbcCD subunit D|unclassified	241.7110325253
UniRef50_UPI0003B50A34: DNA polymerase IV, partial	241.6948611533
UniRef50_UPI0003B50A34: DNA polymerase IV, partial|unclassified	241.6948611533
UniRef50_Q8EPN7: DNA repair protein (RadC family)	240.2255875885
UniRef50_Q8EPN7: DNA repair protein (RadC family)|unclassified	240.2255875885
UniRef50_UPI0003B387E8: hypothetical protein, partial	239.9170577504
UniRef50_UPI0003B387E8: hypothetical protein, partial|unclassified	239.9170577504
UniRef50_X3Z3L8	239.6688167464
UniRef50_X3Z3L8|unclassified	239.6688167464
UniRef50_UPI000225F386: methylated-DNA-protein-cysteine methyltransferase	238.7419747126
UniRef50_UPI000225F386: methylated-DNA-protein-cysteine methyltransferase|unclassified	238.7419747126
UniRef50_UPI0003FAFD5D: DNA repair exonuclease	237.7465976806
UniRef50_UPI0003FAFD5D: DNA repair exonuclease|unclassified	237.7465976806
UniRef50_E5Z9J8: DNA repair protein RecN	236.4887189625
UniRef50_E5Z9J8: DNA repair protein RecN|unclassified	236.4887189625
UniRef50_A0A011MBA1: DNA repair protein RecN	235.9574563498
UniRef50_A0A011MBA1: DNA repair protein RecN|unclassified	235.9574563498
UniRef50_Q82AG6: Probable endonuclease 4	235.7071719209
UniRef50_Q82AG6: Probable endonuclease 4|unclassified	235.7071719209
UniRef50_A7Z9I5: Endonuclease V	234.9684921579
UniRef50_A7Z9I5: Endonuclease V|unclassified	234.9684921579
UniRef50_UPI00036DEB6E: hypothetical protein	234.1869837934
UniRef50_UPI00036DEB6E: hypothetical protein|unclassified	234.1869837934
UniRef50_Q085S6: Exodeoxyribonuclease 7 large subunit	233.4332851201
UniRef50_Q085S6: Exodeoxyribonuclease 7 large subunit|unclassified	233.4332851201
UniRef50_Q87CZ0: Endonuclease V	232.9345042113
UniRef50_Q87CZ0: Endonuclease V|unclassified	232.9345042113
UniRef50_UPI0003B3103D: exodeoxyribonuclease III	231.4413857672
UniRef50_UPI0003B3103D: exodeoxyribonuclease III|unclassified	231.4413857672
UniRef50_UPI00047AEF86: hypothetical protein	231.2951832219
UniRef50_UPI00047AEF86: hypothetical protein|unclassified	231.2951832219
UniRef50_UPI00046650D5: DNA recombination protein RecN	231.1726777576
UniRef50_UPI00046650D5: DNA recombination protein RecN|unclassified	231.1726777576
UniRef50_A3GU64: Nuclease sbcCD subunit C (Fragment)	230.9933239623
UniRef50_A3GU64: Nuclease sbcCD subunit C (Fragment)|unclassified	230.9933239623
UniRef50_Q475F5: Exodeoxyribonuclease 7 large subunit	229.0504155393
UniRef50_Q475F5: Exodeoxyribonuclease 7 large subunit|unclassified	229.0504155393
UniRef50_I3UDG2: SbcD	228.6139832179
UniRef50_I3UDG2: SbcD|unclassified	228.6139832179
UniRef50_UPI00036DEA69: hypothetical protein	228.0681273031
UniRef50_UPI00036DEA69: hypothetical protein|unclassified	228.0681273031
UniRef50_UPI000362B991: hypothetical protein, partial	227.2165347443
UniRef50_UPI000362B991: hypothetical protein, partial|unclassified	227.2165347443
UniRef50_UPI00030BA290: hypothetical protein	226.7880725688
UniRef50_UPI00030BA290: hypothetical protein|unclassified	226.7880725688
UniRef50_B7K379: Endonuclease V	225.9990685260
UniRef50_B7K379: Endonuclease V|unclassified	225.9990685260
UniRef50_UPI0002492E62: exodeoxyribonuclease VII large subunit	223.8857209359
UniRef50_UPI0002492E62: exodeoxyribonuclease VII large subunit|unclassified	223.8857209359
UniRef50_UPI00036A96B9: DNA recombinase	223.3245147635
UniRef50_UPI00036A96B9: DNA recombinase|unclassified	223.3245147635
UniRef50_A7MQ95: UPF0758 protein ESA_04094	223.2559160538
UniRef50_A7MQ95: UPF0758 protein ESA_04094|unclassified	223.2559160538
UniRef50_UPI00046F6FED: hypothetical protein	222.9616291891
UniRef50_UPI00046F6FED: hypothetical protein|unclassified	222.9616291891
UniRef50_UPI000471EB99: hypothetical protein	222.8322860879
UniRef50_UPI000471EB99: hypothetical protein|unclassified	222.8322860879
UniRef50_UPI0004722AF5: hypothetical protein, partial	222.7465369969
UniRef50_UPI0004722AF5: hypothetical protein, partial|unclassified	222.7465369969
UniRef50_W9AFQ1: DNA repair protein RadC	221.6781790423
UniRef50_W9AFQ1: DNA repair protein RadC|unclassified	221.6781790423
UniRef50_UPI000368CAF7: hypothetical protein	221.3787731131
UniRef50_UPI000368CAF7: hypothetical protein|unclassified	221.3787731131
UniRef50_U3BVW2: DNA repair protein RadC	220.6524763517
UniRef50_U3BVW2: DNA repair protein RadC|unclassified	220.6524763517
UniRef50_UPI0002897145: methylated-DNA--protein-cysteine methyltransferase	219.6718083710
UniRef50_UPI0002897145: methylated-DNA--protein-cysteine methyltransferase|unclassified	219.6718083710
UniRef50_A1WY69: DNA polymerase IV	218.8609285644
UniRef50_A1WY69: DNA polymerase IV|unclassified	218.8609285644
UniRef50_UPI0002377A64: DNA repair protein RecN, partial	218.3562500882
UniRef50_UPI0002377A64: DNA repair protein RecN, partial|unclassified	218.3562500882
UniRef50_P54521: Exodeoxyribonuclease 7 large subunit	217.9427010482
UniRef50_P54521: Exodeoxyribonuclease 7 large subunit|unclassified	217.9427010482
UniRef50_X3XBF1	215.9584686508
UniRef50_X3XBF1|unclassified	215.9584686508
UniRef50_UPI0003671825: hypothetical protein	215.4952436762
UniRef50_UPI0003671825: hypothetical protein|unclassified	215.4952436762
UniRef50_UPI00039ADE12: hypothetical protein	215.0292450904
UniRef50_UPI00039ADE12: hypothetical protein|unclassified	215.0292450904
UniRef50_UPI000237816C: DNA-directed DNA polymerase, partial	214.7917087909
UniRef50_UPI000237816C: DNA-directed DNA polymerase, partial|unclassified	214.7917087909
UniRef50_UPI00037D94C9: hypothetical protein, partial	214.4591075423
UniRef50_UPI00037D94C9: hypothetical protein, partial|unclassified	214.4591075423
UniRef50_Q8DND7	213.9930682860
UniRef50_Q8DND7|unclassified	213.9930682860
UniRef50_C5AD70: RmuC domain-containing protein	212.5546111586
UniRef50_C5AD70: RmuC domain-containing protein|unclassified	212.5546111586
UniRef50_Q6F1D3: Probable endonuclease 4	212.4437004747
UniRef50_Q6F1D3: Probable endonuclease 4|unclassified	212.4437004747
UniRef50_UPI0003B5B76A: methylated-DNA--protein-cysteine methyltransferase	212.1404735960
UniRef50_UPI0003B5B76A: methylated-DNA--protein-cysteine methyltransferase|unclassified	212.1404735960
UniRef50_B4RM65: UPF0758 protein NGK_1225	210.7464920982
UniRef50_B4RM65: UPF0758 protein NGK_1225|unclassified	210.7464920982
UniRef50_W4L143	210.3213602653
UniRef50_W4L143|unclassified	210.3213602653
UniRef50_UPI0003B531A9: iron-sulfur binding protein	209.5368264148
UniRef50_UPI0003B531A9: iron-sulfur binding protein|unclassified	209.5368264148
UniRef50_UPI00046F4BA7: hypothetical protein, partial	208.6148037486
UniRef50_UPI00046F4BA7: hypothetical protein, partial|unclassified	208.6148037486
UniRef50_S3E1F3: RmuC	208.5935516454
UniRef50_S3E1F3: RmuC|unclassified	208.5935516454
UniRef50_G8LFQ8: UPF0758 protein EcWSU1_00102	208.3180129606
UniRef50_G8LFQ8: UPF0758 protein EcWSU1_00102|unclassified	208.3180129606
UniRef50_UPI00037E7CCD: hypothetical protein	208.2737603469
UniRef50_UPI00037E7CCD: hypothetical protein|unclassified	208.2737603469
UniRef50_Q9AK82: DNA polymerase IV	208.1300684713
UniRef50_Q9AK82: DNA polymerase IV|unclassified	208.1300684713
UniRef50_UPI00046E5527: DNA polymerase IV	207.0433442121
UniRef50_UPI00046E5527: DNA polymerase IV|unclassified	207.0433442121
UniRef50_Q6AL48: DNA polymerase IV	206.5245474512
UniRef50_Q6AL48: DNA polymerase IV|unclassified	206.5245474512
UniRef50_UPI0003B3A8DB: methylated-DNA-protein-cysteine methyltransferase	206.3052540628
UniRef50_UPI0003B3A8DB: methylated-DNA-protein-cysteine methyltransferase|unclassified	206.3052540628
UniRef50_E2PIP4	206.1128646666
UniRef50_E2PIP4|unclassified	206.1128646666
UniRef50_UPI0003B30167: chromosome segregation protein SMC	206.0424630027
UniRef50_UPI0003B30167: chromosome segregation protein SMC|unclassified	206.0424630027
UniRef50_R0M927: DNA recombination protein RmuC	205.9678978675
UniRef50_R0M927: DNA recombination protein RmuC|unclassified	205.9678978675
UniRef50_UPI000475FB2D: AraC family transcriptional regulator	205.6956642502
UniRef50_UPI000475FB2D: AraC family transcriptional regulator|unclassified	205.6956642502
UniRef50_UPI0003662FA1: hypothetical protein	203.9259144989
UniRef50_UPI0003662FA1: hypothetical protein|unclassified	203.9259144989
UniRef50_UPI0004628605: Fe-S cluster assembly protein HesB, partial	203.2096502448
UniRef50_UPI0004628605: Fe-S cluster assembly protein HesB, partial|unclassified	203.2096502448
UniRef50_L0VLD7: DNA recombination protein RmuC	201.3210370920
UniRef50_L0VLD7: DNA recombination protein RmuC|unclassified	201.3210370920
UniRef50_UPI0003496779: hypothetical protein	201.3128069914
UniRef50_UPI0003496779: hypothetical protein|unclassified	201.3128069914
UniRef50_UPI0003B5D3C8: hypothetical protein	200.7927295862
UniRef50_UPI0003B5D3C8: hypothetical protein|unclassified	200.7927295862
UniRef50_B1W2D9: Exodeoxyribonuclease 7 large subunit	198.7378494900
UniRef50_B1W2D9: Exodeoxyribonuclease 7 large subunit|unclassified	198.7378494900
UniRef50_UPI0001850EE2: nuclease SbcCD, D subunit	197.7668515925
UniRef50_UPI0001850EE2: nuclease SbcCD, D subunit|unclassified	197.7668515925
UniRef50_C1L2R7: Exodeoxyribonuclease 7 large subunit	196.6739056184
UniRef50_C1L2R7: Exodeoxyribonuclease 7 large subunit|unclassified	196.6739056184
UniRef50_UPI0004673090: DNA mismatch repair protein Vsr	194.9284464776
UniRef50_UPI0004673090: DNA mismatch repair protein Vsr|unclassified	194.9284464776
UniRef50_E3ZIZ0: Ser/Thr protein phosphatase family protein (Fragment)	194.4564752027
UniRef50_E3ZIZ0: Ser/Thr protein phosphatase family protein (Fragment)|unclassified	194.4564752027
UniRef50_Q60CT7: Endonuclease V	194.1862026975
UniRef50_Q60CT7: Endonuclease V|unclassified	194.1862026975
UniRef50_B8G418: Probable endonuclease 4	194.0824109256
UniRef50_B8G418: Probable endonuclease 4|unclassified	194.0824109256
UniRef50_Q3ABL2: DNA polymerase IV	193.5671300604
UniRef50_Q3ABL2: DNA polymerase IV|unclassified	193.5671300604
UniRef50_UPI0002BC0EF5: hypothetical protein, partial	193.4268608725
UniRef50_UPI0002BC0EF5: hypothetical protein, partial|unclassified	193.4268608725
UniRef50_UPI0003698849: DNA glycosylase	193.2788547883
UniRef50_UPI0003698849: DNA glycosylase|unclassified	193.2788547883
UniRef50_UPI000470124A: hypothetical protein, partial	190.7324951011
UniRef50_UPI000470124A: hypothetical protein, partial|unclassified	190.7324951011
UniRef50_W4UVI3: DNA repair protein RadC	189.9133137224
UniRef50_W4UVI3: DNA repair protein RadC|unclassified	189.9133137224
UniRef50_UPI000400E0A6: DNA repair protein RecN	189.7910670110
UniRef50_UPI000400E0A6: DNA repair protein RecN|unclassified	189.7910670110
UniRef50_L8DU48: Nuclease sbcCD subunit C	187.5551636709
UniRef50_L8DU48: Nuclease sbcCD subunit C|unclassified	187.5551636709
UniRef50_UPI00046D95B3: exodeoxyribonuclease III, partial	187.3116334904
UniRef50_UPI00046D95B3: exodeoxyribonuclease III, partial|unclassified	187.3116334904
UniRef50_UPI0003752126: hypothetical protein	187.2066447800
UniRef50_UPI0003752126: hypothetical protein|unclassified	187.2066447800
UniRef50_Q4UMV4: Exodeoxyribonuclease 7 large subunit	187.0841006359
UniRef50_Q4UMV4: Exodeoxyribonuclease 7 large subunit|unclassified	187.0841006359
UniRef50_UPI00020034ED: exodeoxyribonuclease III Xth, partial	186.9312117823
UniRef50_UPI00020034ED: exodeoxyribonuclease III Xth, partial|unclassified	186.9312117823
UniRef50_Q0I748: Exodeoxyribonuclease 7 large subunit	186.8002303281
UniRef50_Q0I748: Exodeoxyribonuclease 7 large subunit|unclassified	186.8002303281
UniRef50_A8HSP7: DNA repair protein	186.7796184749
UniRef50_A8HSP7: DNA repair protein|unclassified	186.7796184749
UniRef50_B0TD39: Probable endonuclease 4	185.7456687244
UniRef50_B0TD39: Probable endonuclease 4|unclassified	185.7456687244
UniRef50_UPI00037DDC0E: DNA methyltransferase, partial	184.2300268900
UniRef50_UPI00037DDC0E: DNA methyltransferase, partial|unclassified	184.2300268900
UniRef50_W1F0X0: DNA repair protein RadC	184.1884937901
UniRef50_W1F0X0: DNA repair protein RadC|unclassified	184.1884937901
UniRef50_Q67QM6: DNA polymerase IV	183.2860060188
UniRef50_Q67QM6: DNA polymerase IV|unclassified	183.2860060188
UniRef50_UPI0002554F72: Fis family transcriptional regulator	183.2605262459
UniRef50_UPI0002554F72: Fis family transcriptional regulator|unclassified	183.2605262459
UniRef50_B1YK83: DNA polymerase IV	182.3179514828
UniRef50_B1YK83: DNA polymerase IV|unclassified	182.3179514828
UniRef50_P72255: UPF0758 protein	180.6817358152
UniRef50_P72255: UPF0758 protein|unclassified	180.6817358152
UniRef50_Q4QLV5: UPF0758 protein NTHI1125	180.5498160445
UniRef50_Q4QLV5: UPF0758 protein NTHI1125|unclassified	180.5498160445
UniRef50_UPI00031960AE: hypothetical protein	179.9080386387
UniRef50_UPI00031960AE: hypothetical protein|unclassified	179.9080386387
UniRef50_Q5GZ80: Exodeoxyribonuclease 7 large subunit	179.6149315787
UniRef50_Q5GZ80: Exodeoxyribonuclease 7 large subunit|unclassified	179.6149315787
UniRef50_UPI00037AC869: DNA polymerase IV	179.4498717850
UniRef50_UPI00037AC869: DNA polymerase IV|unclassified	179.4498717850
UniRef50_UPI0000E0E5D5: exonuclease subunit SbcD	179.3669333578
UniRef50_UPI0000E0E5D5: exonuclease subunit SbcD|unclassified	179.3669333578
UniRef50_UPI0001BF5F9C: hypothetical protein SMAC_10519, partial	179.3222747358
UniRef50_UPI0001BF5F9C: hypothetical protein SMAC_10519, partial|unclassified	179.3222747358
UniRef50_UPI0004745CBB: hypothetical protein	178.8919990890
UniRef50_UPI0004745CBB: hypothetical protein|unclassified	178.8919990890
UniRef50_Q74FS7: Probable endonuclease 4	175.7778963500
UniRef50_Q74FS7: Probable endonuclease 4|unclassified	175.7778963500
UniRef50_R5PPK2	175.5503340570
UniRef50_R5PPK2|unclassified	175.5503340570
UniRef50_X2JTS0: Not yet annotated	175.2094910691
UniRef50_X2JTS0: Not yet annotated|unclassified	175.2094910691
UniRef50_Q9K967: Exodeoxyribonuclease 7 large subunit	174.5712083122
UniRef50_Q9K967: Exodeoxyribonuclease 7 large subunit|unclassified	174.5712083122
UniRef50_B1HRX7: Exodeoxyribonuclease 7 large subunit	174.1903558876
UniRef50_B1HRX7: Exodeoxyribonuclease 7 large subunit|unclassified	174.1903558876
UniRef50_I6SVC2	174.1378280301
UniRef50_I6SVC2|unclassified	174.1378280301
UniRef50_A4VV98: DNA repair protein	174.1182126851
UniRef50_A4VV98: DNA repair protein|unclassified	174.1182126851
UniRef50_B8D2H9: Exodeoxyribonuclease 7 large subunit	173.3909419765
UniRef50_B8D2H9: Exodeoxyribonuclease 7 large subunit|unclassified	173.3909419765
UniRef50_W0Z4C1: DNA repair protein RadC	173.1057737765
UniRef50_W0Z4C1: DNA repair protein RadC|unclassified	173.1057737765
UniRef50_UPI0003673ECB: hypothetical protein, partial	172.9758252675
UniRef50_UPI0003673ECB: hypothetical protein, partial|unclassified	172.9758252675
UniRef50_UPI00036490D2: hypothetical protein	172.7938293626
UniRef50_UPI00036490D2: hypothetical protein|unclassified	172.7938293626
UniRef50_UPI00037704B5: hypothetical protein, partial	172.6888632512
UniRef50_UPI00037704B5: hypothetical protein, partial|unclassified	172.6888632512
UniRef50_UPI0002193A93: methylated-DNA--protein-cysteine methyltransferase	172.4036808278
UniRef50_UPI0002193A93: methylated-DNA--protein-cysteine methyltransferase|unclassified	172.4036808278
UniRef50_Q89DD2: Exodeoxyribonuclease 7 large subunit	172.3081995466
UniRef50_Q89DD2: Exodeoxyribonuclease 7 large subunit|unclassified	172.3081995466
UniRef50_Q15R61: Exodeoxyribonuclease 7 large subunit	172.1530756374
UniRef50_Q15R61: Exodeoxyribonuclease 7 large subunit|unclassified	172.1530756374
UniRef50_UPI000472E202: hypothetical protein	171.3257814267
UniRef50_UPI000472E202: hypothetical protein|unclassified	171.3257814267
UniRef50_UPI00035D5F90: hypothetical protein	171.1135893486
UniRef50_UPI00035D5F90: hypothetical protein|unclassified	171.1135893486
UniRef50_W8FYJ4: DNA repair protein RadC	170.9861465761
UniRef50_W8FYJ4: DNA repair protein RadC|unclassified	170.9861465761
UniRef50_Q5HWE6: Exodeoxyribonuclease 7 large subunit	170.7095051082
UniRef50_Q5HWE6: Exodeoxyribonuclease 7 large subunit|unclassified	170.7095051082
UniRef50_UPI000373EA8D: methylated-DNA--protein-cysteine methyltransferase, partial	169.7913500767
UniRef50_UPI000373EA8D: methylated-DNA--protein-cysteine methyltransferase, partial|unclassified	169.7913500767
UniRef50_UPI00047AD2DD: hypothetical protein	169.7662897513
UniRef50_UPI00047AD2DD: hypothetical protein|unclassified	169.7662897513
UniRef50_S5JE30	169.3104643098
UniRef50_S5JE30|unclassified	169.3104643098
UniRef50_E6ENP9: Maltose 6'-phosphate phosphatase	169.2727226367
UniRef50_E6ENP9: Maltose 6'-phosphate phosphatase|unclassified	169.2727226367
UniRef50_X8QBQ4: Nuclease sbcCD subunit C	168.1142964248
UniRef50_X8QBQ4: Nuclease sbcCD subunit C|unclassified	168.1142964248
UniRef50_UPI000361194B: hypothetical protein	166.7103134835
UniRef50_UPI000361194B: hypothetical protein|unclassified	166.7103134835
UniRef50_Q1GF88: Exodeoxyribonuclease 7 large subunit	165.9691044356
UniRef50_Q1GF88: Exodeoxyribonuclease 7 large subunit|unclassified	165.9691044356
UniRef50_T0BRQ5: RadC-like JAB domain protein	165.5041365065
UniRef50_T0BRQ5: RadC-like JAB domain protein|unclassified	165.5041365065
UniRef50_E1SND4	165.4518894241
UniRef50_E1SND4|unclassified	165.4518894241
UniRef50_UPI00036F9EC8: hypothetical protein	165.4296013157
UniRef50_UPI00036F9EC8: hypothetical protein|unclassified	165.4296013157
UniRef50_F4BP38: DNA repair protein RadC	165.4165245895
UniRef50_F4BP38: DNA repair protein RadC|unclassified	165.4165245895
UniRef50_UPI0002EE5CF7: Fis family transcriptional regulator	165.1800946292
UniRef50_UPI0002EE5CF7: Fis family transcriptional regulator|unclassified	165.1800946292
